,이용일,금액,대분류,중분류,소분류
584,2019-02-21,3300,식사,디저트,
585,2019-02-23,13000,식사,닭강정,
586,2019-02-23,9780,생활,마트,롯데마트
587,2019-02-24,2000,식사,카페,요거프레소
588,2019-02-24,10000,식사,카페,카페디엠
589,2019-02-24,7100,식사,카페,커피베이
590,2019-02-25,1800,생활,편의점,바이더웨이
591,2019-02-26,2300,생활,편의점,바이더웨이
592,2019-02-26,4000,식사,카페,카페7그램
593,2019-02-26,1500,식사,카페,카페7그램
594,2019-02-27,2100,생활,편의점,바이더웨이
595,2019-02-27,8480,쇼핑,온라인,11번가
596,2019-02-28,2000,생활,편의점,바이더웨이
597,2019-02-28,45600,교통,버스 22,
598,2019-02-28,1500,식사,카페,카페7그램
599,2019-03-01,40000,생활,헤어,
600,2019-03-02,9800,식사,햄버거,맥도날드
601,2019-03-03,4300,식사,카페,커피베이
602,2019-03-03,18000,식사,베트남식,
603,2019-03-04,3000,식사,카페,카페7그램
604,2019-03-05,2000,생활,편의점,바이더웨이
605,2019-03-05,1800,생활,편의점,바이더웨이
606,2019-03-05,1000,생활,편의점,바이더웨이
607,2019-03-05,12500,식사,디저트,
608,2019-03-06,14000,생활,편의점,바이더웨이
609,2019-03-06,14000,생활,편의점,바이더웨이
610,2019-03-06,1500,식사,카페,카페7그램
611,2019-03-06,3500,식사,분식,
612,2019-03-07,4500,식사,카페,카페7그램
613,2019-03-08,3300,식사,디저트,
614,2019-03-09,1350,교통,지하철 2,
615,2019-03-09,-135,기타,할인,
616,2019-03-09,13000,식사,닭강정,
617,2019-03-10,3800,식사,카페,커피베이
618,2019-03-11,1500,식사,카페,카페7그램
619,2019-03-12,2500,생활,편의점,바이더웨이
620,2019-03-13,4500,식사,디저트,
621,2019-03-14,2300,생활,편의점,바이더웨이
622,2019-03-15,52250,교통,버스 22,
623,2019-03-15,-1865,기타,할인,
624,2019-03-15,1800,생활,편의점,바이더웨이
625,2019-03-15,1500,생활,편의점,GS25
626,2019-03-16,3700,교통,지하철 2,
627,2019-03-18,-2500,기타,할인,
